bus_id,pd,zone_id,base_kv
107655,2.628,46,115.0
107656,3.371,46,92.0
107657,4.013,46,115.0
107658,8.904,46,103.5
107659,0.0,20,138.0
107660,0.0,46,138.0
107662,0.0,46,138.0
107663,0.0,46,161.0
107664,0.0,1,161.0
107666,0.0,9,172.5
107668,5.495,8,69.0
107669,5.495,8,69.0
107670,6.81,8,69.0
107671,6.81,8,69.0
107672,6.81,8,69.0
107673,6.81,8,69.0
107674,0.0,8,230.0
107675,6.81,8,115.0
107677,15.626,8,115.0
107678,2.097,8,69.0
107679,12.134,8,92.0
107680,5.218,8,69.0
107685,12.134,8,115.0
107686,12.134,8,115.0
107687,5.432,8,115.0
107688,5.432,8,69.0
107689,8.588,9,92.0
107690,2.65,8,115.0
107692,1.92,8,115.0
107693,21.655,8,69.0
107694,2.097,8,92.0
107695,8.93,8,115.0
107698,18.003,8,115.0
107700,8.93,8,115.0
107701,8.93,8,115.0
107702,9.623,8,115.0
107703,8.93,8,115.0
107704,0.0,2,161.0
107706,0.0,2,161.0
107708,0.0,2,161.0
107709,2.834,2,115.0
107711,2.834,2,69.0
107712,2.834,2,69.0
107713,8.995,2,115.0
107714,8.995,2,115.0
107715,4.196,2,115.0
107716,5.234,2,161.0
107717,5.234,2,161.0
107718,4.79,2,115.0
107719,4.79,2,115.0
107720,4.79,2,115.0
107721,4.79,2,115.0
107722,4.79,2,115.0
107723,4.79,2,115.0
107724,4.79,2,115.0
107725,4.79,2,115.0
107726,4.163,2,115.0
107727,4.163,2,161.0
107728,4.155,2,115.0
107729,4.155,2,115.0
107730,4.155,2,115.0
107731,3.089,2,126.5
107733,3.089,2,69.0
107734,3.089,2,69.0
107735,3.089,2,69.0
107736,0.0,2,161.0
107737,12.008,2,69.0
107738,0.0,2,161.0
107739,12.008,2,69.0
107740,0.0,2,161.0
107741,0.0,2,161.0
107743,2.693,2,69.0
107744,2.693,2,69.0
107745,2.693,2,69.0
107748,18.309,2,69.0
107749,18.309,2,161.0
107750,18.309,2,161.0
107751,5.487,2,115.0
107752,5.487,2,115.0
107753,5.487,2,115.0
107754,0.0,2,161.0
107755,17.553,2,115.0
107756,17.553,2,115.0
107757,17.553,2,115.0
107758,17.553,2,115.0
107759,0.0,2,138.0
107760,17.553,2,115.0
107761,17.553,2,115.0
107762,17.553,2,115.0
107763,17.553,2,115.0
107765,17.553,2,115.0
107766,17.553,2,115.0
107767,17.553,2,115.0
107768,17.553,2,115.0
107769,17.553,2,115.0
107770,17.553,2,115.0
107771,17.553,2,115.0
107772,17.553,2,115.0
107773,17.553,2,115.0
107774,17.553,2,115.0
107775,17.553,2,115.0
107776,17.553,2,115.0
107777,17.553,2,115.0
107778,17.553,2,115.0
107779,17.553,2,115.0
107780,17.553,2,115.0
107781,0.0,2,161.0
107782,0.0,2,138.0
107783,17.553,2,115.0
107784,17.553,2,115.0
107785,5.081,2,161.0
107786,5.081,2,161.0
107787,5.081,2,161.0
107788,5.081,2,161.0
107789,5.081,2,161.0
107790,12.633,2,115.0
107791,12.633,2,115.0
107792,12.633,2,115.0
107793,12.633,2,115.0
107794,12.633,2,115.0
107795,12.633,2,115.0
107796,12.633,2,115.0
107797,12.633,2,115.0
107800,0.0,2,161.0
107801,0.0,2,161.0
107802,0.0,2,161.0
107803,0.0,2,161.0
107804,10.686,2,69.0
107805,10.686,2,69.0
107806,10.686,2,69.0
107807,10.686,2,69.0
107810,10.686,2,115.0
107811,10.686,2,69.0
107816,4.905,2,138.0
